🐉联通专线「多线路」,#genre#
CCTV1,http://60.27.20.217:4022/rtp/225.1.1.120:5002
CCTV2,http://60.27.20.217:4022/rtp/225.1.1.133:5002
CCTV3,http://60.27.20.217:4022/rtp/225.1.1.158:5002
CCTV4,http://60.27.20.217:4022/rtp/225.1.1.150:5002
CCTV5,http://60.27.20.217:4022/rtp/225.1.1.160:5002
CCTV5+,http://60.27.20.217:4022/rtp/225.1.1.121:5002
CCTV6,http://60.27.20.217:4022/rtp/225.1.1.195:5002
CCTV7,http://60.27.20.217:4022/rtp/225.1.1.138:5002
CCTV8,http://60.27.20.217:4022/rtp/225.1.1.196:5002
CCTV9,http://60.27.20.217:4022/rtp/225.1.1.119:5002
CCTV10,http://60.27.20.217:4022/rtp/225.1.1.140:5002
CCTV11,http://60.27.20.217:4022/rtp/225.1.2.192:5002
CCTV12,http://60.27.20.217:4022/rtp/225.1.1.142:5002
CCTV13,http://60.27.20.217:4022/rtp/225.1.2.193:5002
CCTV14,http://60.27.20.217:4022/rtp/225.1.1.144:5002
CCTV15,http://60.27.20.217:4022/rtp/225.1.2.194:5002
CCTV16,http://60.27.20.217:4022/rtp/225.1.2.237:5002
CCTV17,http://60.27.20.217:4022/rtp/225.1.2.52:5002

CCTV1,http://223.72.19.116:4022/rtp/239.3.1.129:8008
CCTV2,http://223.72.19.116:4022/rtp/239.3.1.60:8084
CCTV3,http://223.72.19.116:4022/rtp/239.3.1.172:8001
CCTV4,http://223.72.19.116:4022/rtp/239.3.1.105:8092
CCTV5,http://223.72.19.116:4022/rtp/239.3.1.173:8001
CCTV5+,http://223.72.19.116:4022/rtp/239.3.1.130:8004
CCTV6,http://223.72.19.116:4022/rtp/239.3.1.174:8001
CCTV7,http://223.72.19.116:4022/rtp/239.3.1.61:8104
CCTV8,http://223.72.19.116:4022/rtp/239.3.1.175:8001
CCTV9,http://223.72.19.116:4022/rtp/239.3.1.62:8112
CCTV10,http://223.72.19.116:4022/rtp/239.3.1.63:8116
CCTV11,http://223.72.19.116:4022/rtp/239.3.1.152:8120
CCTV12,http://223.72.19.116:4022/rtp/239.3.1.64:8124
CCTV13,http://223.72.19.116:4022/rtp/239.3.1.124:8128
CCTV14,http://223.72.19.116:4022/rtp/239.3.1.65:8132
CCTV15,http://223.72.19.116:4022/rtp/239.3.1.153:8136
CCTV16,http://223.72.19.116:4022/rtp/239.3.1.183:8001
CCTV16,http://223.72.19.116:4022/rtp/239.3.1.184:8001
CCTV17,http://223.72.19.116:4022/rtp/239.3.1.151:8144

CCTV1,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV2,http://218.241.192.50:8808/rtp/239.3.1.60:8084
CCTV3,http://218.241.192.50:8808/rtp/239.3.1.172:8001
CCTV4,http://218.241.192.50:8808/rtp/239.3.1.105:8092
CCTV5,http://218.241.192.50:8808/rtp/239.3.1.173:8001
CCTV5+,http://218.241.192.50:8808/rtp/239.3.1.130:8004
CCTV6,http://218.241.192.50:8808/rtp/239.3.1.174:8001
CCTV7,http://218.241.192.50:8808/rtp/239.3.1.61:8104
CCTV8,http://218.241.192.50:8808/rtp/239.3.1.175:8001
CCTV9,http://218.241.192.50:8808/rtp/239.3.1.62:8112
CCTV10,http://218.241.192.50:8808/rtp/239.3.1.63:8116
CCTV11,http://218.241.192.50:8808/rtp/239.3.1.152:8120
