🏆欧洲杯赛事🏆,#genre#
咪咕 欧洲杯 1,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive01
咪咕 欧洲杯 2,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive02
咪咕 欧洲杯 3,http://129.226.149.79:4785/html/freetest0321.php?access_token=test1208faku&id=Slive03
CCTV-5 体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8?token=93742ae45d857eb76d5fde4280c09546
Nowe Sports 618（直连,https://cloud.wujiyan.cc/f/mw2sQ/1.mp4
Now Sports 3,http://cdn.1678520.xyz/xsj.php?id=now-sports-3
ViuTV,http://zsntlqj.xicp.net:8895/bysid/99.m3u8
德国欧洲杯原声: FUSSBALL.TV 1 FHD,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639321.m3u8
德国欧洲杯原声: FUSSBALL.TV 1ᵁᴴᴰ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639320.m3u8
德国欧洲杯原声: FUSSBALL.TV 2 FHD,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639318.m3u8
德国欧洲杯原声: FUSSBALL.TV 2ᵁᴴᴰ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639317.m3u8
德国欧洲杯原声: FUSSBALL.TV 3 FHD,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639316.m3u8
德国欧洲杯原声: FUSSBALL.TV 3ᵁᴴᴰ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639314.m3u8
罗马尼亚 4K,http://doubleclicktv.live/70376812/52663544/325451
beIN SPORTS 4K,http://doubleclicktv.live/70376812/52663544/327643
beIN体育 4K,http://doubleclicktv.live/70376812/52663544/325450
美国VIX+,http://doubleclicktv.live/70376812/52663544/250784
波兰TVP 1 HD,http://doubleclicktv.live/70376812/52663544/325457
beIN体育 HD,http://doubleclicktv.live/70376812/52663544/325455

🐉香港频道「线路1」,#genre#
NOW 体育 4K HDR,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419537.m3u8
NOW 体育 1台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419538.m3u8
NOW 体育 2台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419539.m3u8
NOW 体育 3台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419540.m3u8
NOW 体育 4台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419541.m3u8
NOW 体育 5台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419542.m3u8
NOW 体育 6台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419543.m3u8
NOW 体育 7台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419544.m3u8
NOW 体育 英超 1,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419552.m3u8
NOW 体育 英超 2,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419551.m3u8
NOW 体育 英超 3,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419550.m3u8
NOW 体育 英超 4,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419549.m3u8
NOW 体育 英超 5,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419548.m3u8
NOW 体育 英超 6,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419547.m3u8
NOW 体育 英超 7,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419546.m3u8
国家地理（英）,https://fm1077.serv00.net/anbo/index.php?id=1038
動物星球,https://fm1077.serv00.net/anbo/index.php?id=367
星空衛視,https://fm1077.serv00.net/anbo/index.php?id=56

🐉香港翻墙线路1,#genre#
