央视卫视,#genre#
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV2,http://1.180.2.93:9901/tsfile/live/1035_1.m3u8
CCTV3,http://1.180.2.93:9901/tsfile/live/1054_1.m3u8
CCTV4,http://1.180.2.93:9901/tsfile/live/1063_1.m3u8
CCTV5+,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV6,http://1.180.2.93:9901/tsfile/live/1064_1.m3u8
CCTV7,http://1.180.2.93:9901/tsfile/live/0007_1.m3u8
CCTV8,http://1.180.2.93:9901/tsfile/live/1065_1.m3u8
CCTV9,http://1.180.2.93:9901/tsfile/live/1066_1.m3u8
CCTV10,http://1.180.2.93:9901/tsfile/live/0010_1.m3u8
CCTV11,http://1.180.2.93:9901/tsfile/live/0011_1.m3u8
浙江卫视,http://1.180.2.93:9901/tsfile/live/0124_1.m3u8
北京卫视,http://1.180.2.93:9901/tsfile/live/0122_1.m3u8
吉林卫视,http://1.180.2.93:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://1.180.2.93:9901/tsfile/live/0121_1.m3u8
江西卫视,http://1.180.2.93:9901/tsfile/live/0138_1.m3u8
山东卫视,http://1.180.2.93:9901/tsfile/live/0131_1.m3u8
山西卫视,http://1.180.2.93:9901/tsfile/live/0118_1.m3u8
河南卫视,http://1.180.2.93:9901/tsfile/live/0139_1.m3u8
河北卫视,http://1.180.2.93:9901/tsfile/live/0117_1.m3u8
湖北卫视,http://1.180.2.93:9901/tsfile/live/0132_1.m3u8
广西卫视,http://1.180.2.93:9901/tsfile/live/0113_1.m3u8
海南卫视,http://1.180.2.93:9901/tsfile/live/1033_1.m3u8
贵州卫视,http://1.180.2.93:9901/tsfile/live/0120_1.m3u8
云南卫视,http://1.180.2.93:9901/tsfile/live/0119_1.m3u8
西藏卫视,http://1.180.2.93:9901/tsfile/live/0111_1.m3u8
陕西卫视,http://1.180.2.93:9901/tsfile/live/0136_1.m3u8
青海卫视,http://1.180.2.93:9901/tsfile/live/0140_1.m3u8
兵团卫视,http://1.180.2.93:9901/tsfile/live/0115_1.m3u8
甘肃卫视,http://1.180.2.93:9901/tsfile/live/0141_1.m3u8
新疆卫视,http://1.180.2.93:9901/tsfile/live/0110_1.m3u8
宁夏卫视,http://1.180.2.93:9901/tsfile/live/0112_1.m3u8
黑龙江卫视,http://1.180.2.93:9901/tsfile/live/0143_1.m3u8
内蒙古卫视,http://1.180.2.93:9901/tsfile/live/1068_1.m3u8


CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV4K,http://148.135.93.213:81/live.php?id=CCTV4K
CCTV4K,http://148.135.93.213:81/live.php?id=CCTV16-4K
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17
凤凰资讯,http://148.135.93.213:81/live.php?id=凤凰资讯
凤凰中文,http://148.135.93.213:81/live.php?id=凤凰中文
湖南卫视芒果TV,http://148.135.93.213:81/live.php?id=芒果TV
湖南卫视,http://148.135.93.213:81/live.php?id=湖南卫视
浙江卫视,http://148.135.93.213:81/live.php?id=浙江卫视
江苏卫视,http://148.135.93.213:81/live.php?id=江苏卫视
北京卫视,http://148.135.93.213:81/live.php?id=北京卫视
广东卫视,http://148.135.93.213:81/live.php?id=广东卫视
吉林卫视,http://148.135.93.213:81/live.php?id=吉林卫视
四川卫视,http://148.135.93.213:81/live.php?id=四川卫视
天津卫视,http://148.135.93.213:81/live.php?id=天津卫视
安徽卫视,http://148.135.93.213:81/live.php?id=安徽卫视
山东卫视,http://148.135.93.213:81/live.php?id=山东卫视
东南卫视,http://148.135.93.213:81/live.php?id=东南卫视
